input_mb,baseline,latency_s
1,GoldFish,0.04057142857142857
2,GoldFish,0.063
3,GoldFish,0.08214285714285714
4,GoldFish,0.09914285714285714
5,GoldFish,0.11757142857142856
6,GoldFish,0.13471428571428573
7,GoldFish,0.15228571428571427
8,GoldFish,0.17085714285714287
9,GoldFish,0.189
10,GoldFish,0.21157142857142858
11,GoldFish,0.2364285714285714
12,GoldFish,0.25771428571428573
13,GoldFish,0.269
14,GoldFish,0.2927142857142857
15,GoldFish,0.3187142857142857
16,GoldFish,0.33785714285714286
17,GoldFish,0.3922857142857143
18,GoldFish,0.39842857142857147
19,GoldFish,0.43785714285714283
20,GoldFish,0.46071428571428574
21,GoldFish,0.49814285714285716
22,GoldFish,0.5108571428571428
23,GoldFish,0.5475714285714286
24,GoldFish,0.5874285714285714
25,GoldFish,0.594
26,GoldFish,0.5941428571428571
27,GoldFish,0.63
28,GoldFish,0.6604285714285715
29,GoldFish,0.6775714285714286
30,GoldFish,0.71
31,GoldFish,0.7381428571428571
32,GoldFish,0.7621428571428571
33,GoldFish,0.934
34,GoldFish,1.0974285714285714
35,GoldFish,1.1282857142857141
36,GoldFish,1.1607142857142858
37,GoldFish,1.18
38,GoldFish,1.2094285714285713
39,GoldFish,1.254857142857143
40,GoldFish,1.2707142857142857
41,GoldFish,1.3162857142857143
42,GoldFish,1.3577142857142859
43,GoldFish,1.382
44,GoldFish,1.4247142857142858
45,GoldFish,1.5031428571428571
46,GoldFish,1.5224285714285712
47,GoldFish,1.5665714285714287
48,GoldFish,1.5962857142857143
49,GoldFish,1.6794285714285713
50,GoldFish,1.7077142857142857
1,OpenFaaS,0.3637142857142857
2,OpenFaaS,0.5578571428571429
3,OpenFaaS,0.7924285714285715
4,OpenFaaS,1.0534285714285714
5,OpenFaaS,1.4632857142857143
6,OpenFaaS,1.820857142857143
7,OpenFaaS,2.0084285714285715
8,OpenFaaS,2.241
9,OpenFaaS,2.6631428571428573
10,OpenFaaS,2.8218571428571426
11,OpenFaaS,3.2775714285714286
12,OpenFaaS,3.4812857142857143
13,OpenFaaS,3.5452857142857144
14,OpenFaaS,4.075428571428572
15,OpenFaaS,4.357142857142857
16,OpenFaaS,4.5125714285714285
17,OpenFaaS,5.303285714285715
18,OpenFaaS,4.9521428571428565
19,OpenFaaS,5.416
20,OpenFaaS,5.72
21,OpenFaaS,6.398285714285715
22,OpenFaaS,6.229285714285715
23,OpenFaaS,6.420428571428571
24,OpenFaaS,6.652428571428572
25,OpenFaaS,6.980428571428572
26,OpenFaaS,7.372428571428571
27,OpenFaaS,7.358428571428572
28,OpenFaaS,7.639714285714286
29,OpenFaaS,7.904285714285715
30,OpenFaaS,7.973142857142857
31,OpenFaaS,8.351142857142857
32,OpenFaaS,8.474285714285713
33,OpenFaaS,9.450571428571429
34,OpenFaaS,9.385714285714286
35,OpenFaaS,9.395428571428571
36,OpenFaaS,9.50657142857143
37,OpenFaaS,9.880285714285714
38,OpenFaaS,10.15857142857143
39,OpenFaaS,10.267857142857142
40,OpenFaaS,10.641857142857143
41,OpenFaaS,11.237857142857143
42,OpenFaaS,11.261571428571429
43,OpenFaaS,11.502142857142857
44,OpenFaaS,11.50357142857143
45,OpenFaaS,11.755714285714287
46,OpenFaaS,12.19742857142857
47,OpenFaaS,12.432857142857143
48,OpenFaaS,12.250857142857143
49,OpenFaaS,12.779285714285713
50,OpenFaaS,12.497142857142856
1,Spin,0.29942857142857143
2,Spin,0.42828571428571427
3,Spin,0.5844285714285714
4,Spin,0.7517142857142857
5,Spin,0.9155714285714286
6,Spin,1.074857142857143
7,Spin,1.249142857142857
8,Spin,1.411
9,Spin,1.5831428571428572
10,Spin,1.7448571428571429
11,Spin,1.9082857142857141
12,Spin,2.066
13,Spin,2.241285714285714
14,Spin,2.4044285714285714
15,Spin,2.5811428571428574
16,Spin,2.739
17,Spin,2.9588571428571426
18,Spin,3.1214285714285714
19,Spin,3.285142857142857
20,Spin,3.452714285714286
21,Spin,3.613
22,Spin,3.8081428571428573
23,Spin,4.009142857142857
24,Spin,4.168142857142857
25,Spin,4.322285714285715
26,Spin,4.527714285714286
27,Spin,4.6695714285714285
28,Spin,4.848142857142857
29,Spin,5.010142857142857
30,Spin,5.2134285714285715
31,Spin,5.409285714285715
32,Spin,5.564857142857143
33,Spin,5.7827142857142855
34,Spin,5.985714285714286
35,Spin,6.1541428571428565
36,Spin,6.3304285714285715
37,Spin,6.500285714285715
38,Spin,6.65
39,Spin,6.8422857142857145
40,Spin,6.989857142857143
41,Spin,7.157142857142857
42,Spin,7.343857142857143
43,Spin,7.506428571428572
44,Spin,7.691142857142857
45,Spin,7.855714285714285
46,Spin,8.072285714285714
47,Spin,8.237142857142857
48,Spin,8.426714285714286
49,Spin,8.530285714285714
50,Spin,8.732857142857144

