messages,baseline,mean,err_plus,err_minus
100,GoldFish,3.564,0.5620000000000003,0.2869999999999999
300,GoldFish,10.783,1.8320000000000007,0.9559999999999995
500,GoldFish,17.864,2.9830000000000005,1.4740000000000002
700,GoldFish,25.04,3.929000000000002,1.9849999999999994
100,Spin,28.05842857142857,5.121571428571428,3.0324285714285715
300,Spin,84.42442857142852,16.26957142857148,9.343428571428518
500,Spin,140.22414285714277,26.30685714285724,15.357142857142762
700,Spin,196.24728571428554,37.28171428571446,21.552285714285546
100,OpenFaas,34.577857142857155,5.979142857142847,4.137857142857154
300,OpenFaas,103.17428571428574,17.758714285714262,11.856285714285747
500,OpenFaas,171.60328571428573,29.70871428571428,19.580285714285736
700,OpenFaas,241.00285714285727,41.62914285714274,27.859857142857265

