input_mb,baseline,throughput_rps
1,GoldFish,24.647887323943664
2,GoldFish,15.873015873015873
3,GoldFish,12.173913043478262
4,GoldFish,10.086455331412104
5,GoldFish,8.50546780072904
6,GoldFish,7.423117709437963
7,GoldFish,6.566604127579738
8,GoldFish,5.852842809364548
9,GoldFish,5.291005291005291
10,GoldFish,4.726536124240378
11,GoldFish,4.229607250755287
12,GoldFish,3.8802660753880263
13,GoldFish,3.717472118959108
14,GoldFish,3.4163006344558324
15,GoldFish,3.137606454504706
16,GoldFish,2.959830866807611
17,GoldFish,2.5491624180626364
18,GoldFish,2.509860164933668
19,GoldFish,2.2838499184339316
20,GoldFish,2.1705426356589146
21,GoldFish,2.007456266131345
22,GoldFish,1.957494407158837
23,GoldFish,1.826245760500913
24,GoldFish,1.7023346303501945
25,GoldFish,1.6835016835016836
26,GoldFish,1.6830968982928591
27,GoldFish,1.5873015873015872
28,GoldFish,1.5141682889898334
29,GoldFish,1.4758591608686484
30,GoldFish,1.4084507042253522
31,GoldFish,1.3547513063673313
32,GoldFish,1.3120899718837864
33,GoldFish,1.070663811563169
34,GoldFish,0.9112210361884926
35,GoldFish,0.8863003291972653
36,GoldFish,0.8615384615384615
37,GoldFish,0.8474576271186441
38,GoldFish,0.8268367587999056
39,GoldFish,0.796903460837887
40,GoldFish,0.7869589657110737
41,GoldFish,0.759713479487736
42,GoldFish,0.7365319865319865
43,GoldFish,0.7235890014471781
44,GoldFish,0.7018951168154015
45,GoldFish,0.6652727618323513
46,GoldFish,0.6568452660223328
47,GoldFish,0.6383366770016414
48,GoldFish,0.6264542688383747
49,GoldFish,0.5954406260632868
50,GoldFish,0.5855780491885562
1,OpenFaaS,2.7494108405341713
2,OpenFaaS,1.7925736235595389
3,OpenFaaS,1.2619433928249504
4,OpenFaaS,0.9492812584757255
5,OpenFaaS,0.6833935370496924
6,OpenFaaS,0.549191903342225
7,OpenFaaS,0.49790169997866135
8,OpenFaaS,0.44622936189201245
9,OpenFaaS,0.37549619139577295
10,OpenFaaS,0.354376550397408
11,OpenFaaS,0.3051039532755089
12,OpenFaaS,0.2872501949197751
13,OpenFaaS,0.2820647137043156
14,OpenFaaS,0.24537296690970273
15,OpenFaaS,0.2295081967213115
16,OpenFaaS,0.22160314043307586
17,OpenFaaS,0.18856234679309322
18,OpenFaaS,0.20193278523005917
19,OpenFaaS,0.1846381093057607
20,OpenFaaS,0.17482517482517484
21,OpenFaaS,0.15629186389211394
22,OpenFaaS,0.16053204907694069
23,OpenFaaS,0.15575284248937543
24,OpenFaaS,0.15032104279854833
25,OpenFaaS,0.14325767963489755
26,OpenFaaS,0.13564051388377546
27,OpenFaaS,0.13589858083053447
28,OpenFaaS,0.13089494745502825
29,OpenFaaS,0.1265136454003253
30,OpenFaaS,0.1254210564036408
31,OpenFaaS,0.11974408977385473
32,OpenFaaS,0.11800404585300069
33,OpenFaaS,0.10581370740998276
34,OpenFaaS,0.106544901065449
35,OpenFaaS,0.10643474029923368
36,OpenFaaS,0.10519039461425178
37,OpenFaaS,0.10121164801480582
38,OpenFaaS,0.09843903810997046
39,OpenFaaS,0.09739130434782609
40,OpenFaaS,0.09396856080437088
41,OpenFaaS,0.088984936121528
42,OpenFaaS,0.08879755426164833
43,OpenFaaS,0.08694032167919022
44,OpenFaaS,0.08692952499223842
45,OpenFaaS,0.08506501397496657
46,OpenFaaS,0.08198449321871121
47,OpenFaaS,0.08043203493048375
48,OpenFaaS,0.08162694155510984
49,OpenFaaS,0.07825163490022917
50,OpenFaaS,0.0800182898948331
1,Spin,3.3396946564885495
2,Spin,2.334889926617745
3,Spin,1.7110730872647275
4,Spin,1.330292664386165
5,Spin,1.0922140739584958
6,Spin,0.9303561935140882
7,Spin,0.8005489478499542
8,Spin,0.7087172218284904
9,Spin,0.6316549359321422
10,Spin,0.5731128213525463
11,Spin,0.5240305434945352
12,Spin,0.48402710551790906
13,Spin,0.4461724775320288
14,Spin,0.41589923355712677
15,Spin,0.3874252822669913
16,Spin,0.36509675063891933
17,Spin,0.3379683275395906
18,Spin,0.32036613272311215
19,Spin,0.30440076535049576
20,Spin,0.2896272084074641
21,Spin,0.2767783005812344
22,Spin,0.2625951907566493
23,Spin,0.24942987457240595
24,Spin,0.23991500154231074
25,Spin,0.23135906927551556
26,Spin,0.22086199280620938
27,Spin,0.21415241533331295
28,Spin,0.20626454901729674
29,Spin,0.19959510706851816
30,Spin,0.1918123527155149
31,Spin,0.18486729169417668
32,Spin,0.17969913230990398
33,Spin,0.17292917315151066
34,Spin,0.16706443914081145
35,Spin,0.16249216555630355
36,Spin,0.15796718795838693
37,Spin,0.1538393916750912
38,Spin,0.15037593984962405
39,Spin,0.1461499916485719
40,Spin,0.14306444031147172
41,Spin,0.13972055888223553
42,Spin,0.13616822611706578
43,Spin,0.1332191454943382
44,Spin,0.13001968869571678
45,Spin,0.12729587197672304
46,Spin,0.12388064984249461
47,Spin,0.12140131807145335
48,Spin,0.11867021547120551
49,Spin,0.11722936763129689
50,Spin,0.11451006052674627

