parallel,baseline,latency_ms
49,Spin,52.542274052478135
50,Spin,53.537142857142854
51,Spin,52.476190476190474
52,Spin,52.434065934065934
53,Spin,51.68194070080863
54,Spin,51.94973544973545
55,Spin,53.02337662337662
56,Spin,52.42602040816326
57,Spin,52.02756892230576
58,Spin,52.02709359605911
59,Spin,52.309927360774815
60,Spin,52.67857142857143
61,Spin,53.14519906323185
62,Spin,52.50921658986175
63,Spin,54.06802721088435
64,Spin,53.658482142857146
65,Spin,53.21098901098901
66,Spin,54.205627705627705
67,Spin,52.31556503198294
68,Spin,51.90546218487395
69,Spin,52.184265010351965
70,Spin,52.62448979591837
71,Spin,51.969818913480886
72,Spin,52.61309523809524
73,Spin,52.79256360078278
74,Spin,51.33976833976834
75,Spin,52.50095238095238
76,Spin,52.42857142857142
77,Spin,54.60111317254175
78,Spin,53.434065934065934
79,Spin,53.14104882459313
80,Spin,52.84642857142857
81,Spin,52.908289241622576
82,Spin,52.45296167247386
83,Spin,52.46127366609295
84,Spin,52.88265306122449
85,Spin,52.20840336134453
86,Spin,52.029900332225914
87,Spin,52.839080459770116
88,Spin,53.21915584415585
89,Spin,53.00802568218298
90,Spin,53.8063492063492
91,Spin,52.63893249607535
92,Spin,52.82142857142857
93,Spin,52.18125960061444
94,Spin,52.91945288753799
95,Spin,53.575939849624056
96,Spin,54.52232142857142
97,Spin,53.70544918998527
98,Spin,53.17492711370262
99,Spin,52.46753246753247
100,Spin,52.104285714285716

