parallel,baseline,throughput_rps
39,OpenFaaS,19.371319094585964
40,OpenFaaS,19.480971265567383
41,OpenFaaS,19.698009608785174
42,OpenFaaS,19.339560584133668
43,OpenFaaS,19.632141925384815
44,OpenFaaS,19.455498705072326
45,OpenFaaS,19.689961245155644
46,OpenFaaS,19.521066989996967
47,OpenFaaS,19.6605712919804
48,OpenFaaS,19.69750263805839
49,OpenFaaS,19.463201498042334
50,OpenFaaS,19.45525291828794
51,OpenFaaS,19.653179190751445
52,OpenFaaS,19.582526361093176
53,OpenFaaS,19.613026009727214
54,OpenFaaS,19.74715285759064
55,OpenFaaS,19.41502773575391
56,OpenFaaS,19.395378754143785
57,OpenFaaS,19.771071800208116
58,OpenFaaS,19.464953495061845
59,OpenFaaS,19.765494137353436
60,OpenFaaS,19.65372016846046
61,OpenFaaS,19.806113456097222
62,OpenFaaS,19.588373352590718
63,OpenFaaS,19.538345664791102
64,OpenFaaS,19.31783881678237
65,OpenFaaS,19.387276833269418
66,OpenFaaS,19.567150904239547
67,OpenFaaS,19.913383152173914
68,OpenFaaS,19.5097958849086
69,OpenFaaS,19.498607242339833
70,OpenFaaS,19.331676332504834
71,OpenFaaS,19.281502172563624
72,OpenFaaS,19.25795728095984
73,OpenFaaS,19.130695219198085
74,OpenFaaS,19.451746150957568
75,OpenFaaS,19.576403907823103
76,OpenFaaS,19.44657674452608
77,OpenFaaS,19.447250685524605
78,OpenFaaS,19.593770185889614
79,OpenFaaS,19.352580927384075
80,OpenFaaS,19.532612486920122
81,OpenFaaS,19.435779659273987
82,OpenFaaS,19.725085910652922
83,OpenFaaS,19.67490687436505
84,OpenFaaS,19.832034807244764
85,OpenFaaS,19.824742611535
86,OpenFaaS,19.542916504350085
87,OpenFaaS,19.809387502846175
88,OpenFaaS,19.530135379347517
89,OpenFaaS,19.76648264483787
90,OpenFaaS,19.769047320195806
91,OpenFaaS,19.84856510765588
92,OpenFaaS,19.273935294645796
93,OpenFaaS,19.45199749006484
94,OpenFaaS,19.84198781738134
95,OpenFaaS,19.423998130622735
96,OpenFaaS,19.713682234217323
97,OpenFaaS,19.886363636363637
98,OpenFaaS,19.838630382602158
99,OpenFaaS,19.60007919223916
100,OpenFaaS,19.8784574317033
10,Spin,18.80709296077378
11,Spin,18.487394957983195
12,Spin,18.69574894279991
13,Spin,19.46524064171123
14,Spin,19.20062695924765
15,Spin,18.689925240299036
16,Spin,18.53690830850712
17,Spin,19.012621824572616
18,Spin,19.0966959684753
19,Spin,18.867924528301888
20,Spin,18.636847710330137
21,Spin,18.560606060606062
22,Spin,18.0327868852459
23,Spin,18.241559030138227
24,Spin,17.725258493353028
25,Spin,18.38814752548072
26,Spin,18.140137546097876
27,Spin,18.65192933978091
28,Spin,18.962848297213622
29,Spin,19.337016574585636
30,Spin,19.077034883720927
31,Spin,18.378927754721772
32,Spin,18.820366324987397
33,Spin,18.903436988543373
34,Spin,19.061348710555823
35,Spin,18.457134247400937
36,Spin,18.63629640585712
37,Spin,19.20652576937338
38,Spin,18.695529940961485
39,Spin,19.121664215171254
40,Spin,19.090475216472353
41,Spin,19.014177819000928
42,Spin,19.031589849818747
43,Spin,18.82073407115613
44,Spin,18.761040384966805
45,Spin,18.811585547924754
46,Spin,19.06340654786573
47,Spin,18.965815414769125
48,Spin,19.281533340984733
49,Spin,19.032293863056267
50,Spin,18.67862098409649
51,Spin,19.056261343012704
52,Spin,19.07157078486849
53,Spin,19.349118598101594
54,Spin,19.249376177623873
55,Spin,18.859606152640346
56,Spin,19.07449759135809
57,Spin,19.220579025964643
58,Spin,19.220754627657058
59,Spin,19.11683021662655
60,Spin,18.983050847457626
61,Spin,18.816375093641213
62,Spin,19.044275747070955
63,Spin,18.4952189229995
64,Spin,18.63638254503099
65,Spin,18.793110569575813
66,Spin,18.448268977358943
67,Spin,19.11477013368112
68,Spin,19.265795118792248
69,Spin,19.16286451100972
70,Spin,19.00255952842628
71,Spin,19.241937357234118
72,Spin,19.006674963231134
73,Spin,18.94206175631093
74,Spin,19.47807776190118
75,Spin,19.04727351884773
76,Spin,19.07356948228883
77,Spin,18.314644920149505
78,Spin,18.714652956298202
79,Spin,18.8178446251744
80,Spin,18.922754612421436
81,Spin,18.9006300210007
82,Spin,19.064700411850673
83,Spin,19.061679790026243
84,Spin,18.90979257115292
85,Spin,19.154004635591036
86,Spin,19.21971777025733
87,Spin,18.92538612138351
88,Spin,18.790226641857057
89,Spin,18.865067829457367
90,Spin,18.585167266505398
91,Spin,18.997345739763205
92,Spin,18.931710615280593
93,Spin,19.163968207241684
94,Spin,18.896642830475862
95,Spin,18.665094869204
96,Spin,18.341111929910753
97,Spin,18.620084462238797
98,Spin,18.805855584187732
99,Spin,19.059405940594058
100,Spin,19.192279220245112

