parallel,baseline,throughput_rps
10,GoldFish,123.45679012345678
11,GoldFish,125.0
12,GoldFish,130.43478260869566
13,GoldFish,130.0
14,GoldFish,134.6153846153846
15,GoldFish,144.23076923076923
16,GoldFish,145.45454545454547
17,GoldFish,140.49586776859505
18,GoldFish,142.85714285714286
19,GoldFish,145.03816793893128
20,GoldFish,136.986301369863
21,GoldFish,146.85314685314685
22,GoldFish,151.7241379310345
23,GoldFish,149.35064935064935
24,GoldFish,145.45454545454544
25,GoldFish,150.6024096385542
26,GoldFish,152.94117647058823
27,GoldFish,153.4090909090909
28,GoldFish,152.17391304347825
29,GoldFish,147.95918367346937
30,GoldFish,150.0
31,GoldFish,161.45833333333334
32,GoldFish,146.11872146118722
33,GoldFish,153.48837209302326
34,GoldFish,158.13953488372093
35,GoldFish,156.9506726457399
36,GoldFish,157.89473684210526
37,GoldFish,149.19354838709677
38,GoldFish,157.67634854771785
39,GoldFish,161.15702479338844
40,GoldFish,162.60162601626016
41,GoldFish,158.91472868217053
42,GoldFish,164.0625
43,GoldFish,149.30555555555557
44,GoldFish,157.14285714285714
45,GoldFish,158.45070422535213
46,GoldFish,156.99658703071674
47,GoldFish,155.6291390728477
48,GoldFish,159.468438538206
49,GoldFish,162.25165562913907
50,GoldFish,152.4390243902439
51,GoldFish,162.93929712460064
52,GoldFish,159.5092024539877
53,GoldFish,167.72151898734177
54,GoldFish,163.63636363636363
55,GoldFish,160.34985422740525
56,GoldFish,164.70588235294116
57,GoldFish,163.79310344827587
58,GoldFish,161.11111111111111
59,GoldFish,166.66666666666669
60,GoldFish,169.49152542372883
61,GoldFish,168.5082872928177
62,GoldFish,166.66666666666666
63,GoldFish,161.95372750642673
64,GoldFish,165.37467700258398
65,GoldFish,162.5
66,GoldFish,164.58852867830424
67,GoldFish,162.22760290556903
68,GoldFish,169.15422885572139
69,GoldFish,171.21588089330024
70,GoldFish,160.18306636155606
71,GoldFish,160.63348416289594
72,GoldFish,165.13761467889907
73,GoldFish,168.59122401847574
74,GoldFish,165.91928251121075
75,GoldFish,164.4736842105263
76,GoldFish,168.51441241685143
77,GoldFish,168.12227074235807
78,GoldFish,161.82572614107883
79,GoldFish,170.25862068965517
80,GoldFish,175.054704595186
81,GoldFish,178.02197802197801
82,GoldFish,173.3615221987315
83,GoldFish,167.67676767676767
84,GoldFish,175.0
85,GoldFish,157.99256505576207
86,GoldFish,166.34429400386847
87,GoldFish,158.46994535519124
88,GoldFish,176.70682730923696
89,GoldFish,164.51016635859517
90,GoldFish,171.10266159695817
91,GoldFish,169.45996275605214
92,GoldFish,175.90822179732314
93,GoldFish,165.7754010695187
94,GoldFish,164.62346760070054
95,GoldFish,165.50522648083626
96,GoldFish,147.91987673343604
97,GoldFish,162.751677852349
98,GoldFish,167.52136752136752
99,GoldFish,170.10309278350516
100,GoldFish,173.91304347826087
10,OpenFaaS,18.498942917547566
11,OpenFaaS,18.666666666666668
12,OpenFaaS,18.56353591160221
13,OpenFaaS,18.53738032185781
14,OpenFaaS,18.25633383010432
15,OpenFaaS,18.703241895261844
16,OpenFaaS,18.232134136415432
17,OpenFaaS,18.61410918191772
18,OpenFaaS,17.885024840312276
19,OpenFaaS,18.531419813292466
20,OpenFaaS,18.24817518248175
21,OpenFaaS,19.158086797862637
22,OpenFaaS,19.135188866799204
23,OpenFaaS,19.17808219178082
24,OpenFaaS,18.71449259218002
25,OpenFaaS,18.96813353566009
26,OpenFaaS,19.33085501858736
27,OpenFaaS,19.67520299812617
28,OpenFaaS,19.28374655647383
29,OpenFaaS,19.758613977029395
30,OpenFaaS,19.565825025621916
31,OpenFaaS,19.544267315140054
32,OpenFaaS,19.63706496011221
33,OpenFaaS,19.367820910539113
34,OpenFaaS,19.71830985915493
35,OpenFaaS,19.750100765820235
36,OpenFaaS,19.747668678003294
37,OpenFaaS,19.737844840725497
38,OpenFaaS,19.416058394160583
