parallel,baseline,latency_ms
55,OpenFaaS,52.04935064935065
56,OpenFaaS,51.68877551020408
57,OpenFaaS,51.766917293233085
58,OpenFaaS,52.75369458128079
59,OpenFaaS,51.84261501210654
60,OpenFaaS,52.523809523809526
61,OpenFaaS,52.53161592505855
62,OpenFaaS,51.49078341013825
63,OpenFaaS,51.80952380952381
64,OpenFaaS,51.638392857142854
65,OpenFaaS,50.92087912087912
66,OpenFaaS,51.52380952380952
67,OpenFaaS,51.33262260127932
68,OpenFaaS,51.260504201680675
69,OpenFaaS,50.815734989648035
70,OpenFaaS,51.614285714285714
71,OpenFaaS,51.287726358148895
72,OpenFaaS,51.625
73,OpenFaaS,50.81213307240704
74,OpenFaaS,50.92857142857143
75,OpenFaaS,51.00571428571429
76,OpenFaaS,51.016917293233085
77,OpenFaaS,51.84786641929499
78,OpenFaaS,52.00732600732601
79,OpenFaaS,52.14104882459313
80,OpenFaaS,51.91428571428571
81,OpenFaaS,51.04409171075837
82,OpenFaaS,50.78397212543555
83,OpenFaaS,50.87091222030981
84,OpenFaaS,50.88945578231292
85,OpenFaaS,51.17983193277311
86,OpenFaaS,51.0514950166113
87,OpenFaaS,51.71100164203613
88,OpenFaaS,51.09090909090909
89,OpenFaaS,51.227929373996794
90,OpenFaaS,51.0
91,OpenFaaS,51.1679748822606
92,OpenFaaS,51.24223602484472
93,OpenFaaS,51.25038402457758
94,OpenFaaS,51.223404255319146
95,OpenFaaS,50.82406015037594
96,OpenFaaS,50.88839285714286
97,OpenFaaS,50.865979381443296
98,OpenFaaS,50.96938775510204
99,OpenFaaS,50.6075036075036
100,OpenFaaS,51.05
10,Spin,52.74285714285715
11,Spin,53.2987012987013
12,Spin,52.61904761904762
13,Spin,51.01098901098901
14,Spin,48.765306122448976
15,Spin,49.84761904761904
16,Spin,50.61607142857143
17,Spin,48.79831932773109
18,Spin,48.87301587301587
19,Spin,49.18045112781955
20,Spin,50.8
21,Spin,49.78911564625851
22,Spin,50.175324675324674
23,Spin,50.80745341614907
24,Spin,50.48214285714286
25,Spin,48.77142857142857
26,Spin,48.895604395604394
27,Spin,48.989417989417994
28,Spin,48.86224489795918
29,Spin,49.15270935960591
30,Spin,48.233333333333334
31,Spin,50.57142857142858
32,Spin,49.941964285714285
33,Spin,48.63203463203463
34,Spin,50.390756302521005
35,Spin,49.24081632653061
36,Spin,48.85714285714286
37,Spin,48.87644787644788
38,Spin,48.89473684210526
39,Spin,49.55677655677656
40,Spin,49.66428571428572
41,Spin,50.31010452961672
42,Spin,49.71088435374149
43,Spin,49.87043189368771
44,Spin,49.95454545454545
45,Spin,49.07301587301587
46,Spin,48.80434782608695
47,Spin,49.22796352583587
48,Spin,48.92559523809524
49,Spin,48.717201166180764
50,Spin,47.7
51,Spin,48.18207282913165
52,Spin,49.01923076923077
53,Spin,48.23180592991913
54,Spin,48.44708994708995
55,Spin,48.23116883116883
56,Spin,48.25255102040817
57,Spin,47.771929824561404
58,Spin,47.522167487684726
59,Spin,47.053268765133176
60,Spin,47.673809523809524
61,Spin,49.7728337236534
62,Spin,49.64746543778802
63,Spin,49.77097505668934
64,Spin,49.52455357142857
65,Spin,49.39780219780219
66,Spin,47.85497835497836
67,Spin,47.940298507462686
68,Spin,47.720588235294116
69,Spin,48.48033126293996
70,Spin,48.66122448979592
71,Spin,47.899396378269614
72,Spin,48.14682539682539
73,Spin,48.44031311154599
74,Spin,49.45945945945946
75,Spin,48.99428571428571
76,Spin,49.359022556390975
77,Spin,47.53803339517626
78,Spin,48.34615384615385
79,Spin,48.719710669077756
80,Spin,48.31964285714285
81,Spin,48.525573192239854
82,Spin,49.03484320557491
83,Spin,48.877796901893284
84,Spin,48.73299319727891
85,Spin,49.39663865546218
86,Spin,49.28073089700997
87,Spin,48.3448275862069
88,Spin,47.975649350649356
89,Spin,48.1653290529695
90,Spin,47.74444444444445
91,Spin,47.66405023547881
92,Spin,47.3416149068323
93,Spin,50.16129032258065
94,Spin,48.723404255319146
95,Spin,48.923308270676685
96,Spin,49.188988095238095
97,Spin,48.98969072164948
98,Spin,47.7871720116618
99,Spin,48.02453102453103
100,Spin,48.205714285714286

